MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.02344	s	12/20/2016 1:19:06 PM
Axial Displacement	Axial Displacement Error	Axial Extensometer	Axial Extensometer Abs. Error	Axial Force	Axial Force Abs. Error	Running Time	Time
mm	mm	mm/mm	mm/mm	N	N	s	s
0.34294605	-0.00023341179	0.0016712493	0	10204.598	0	20.322266	20.34082
0.3458643	0.00016865134	0.0015560301	0	10285.055	0	20.421875	20.44043
0.34931421	3.9041042e-05	0.0016692968	0	10360.974	0	20.521484	20.540039
0.35223246	0.00044110417	0.0016541522	0	10437.563	0	20.621094	20.639648
0.35567522	0.00031867623	0.0016491864	0	10513.67	0	20.720703	20.739258
0.35747766	0.0018365383	0.0017030841	0	10599.149	0	20.820313	20.838867
0.3620863	0.00054821372	0.001742685	0	10690.648	0	20.919922	20.938477
0.36480904	0.0011457801	0.001657784	0	10777.293	0	21.019531	21.038086
0.36839724	0.00087788701	0.0017530881	0	10867.269	0	21.119141	21.137695
0.37201881	0.00057664514	0.0017843569	0	10955.439	0	21.21875	21.237305
0.37551641	0.00039935112	0.0016917769	0	11037.899	0	21.318359	21.336914
0.37847519	0.00076088309	0.0018712111	0	11121.529	0	21.417969	21.436523
0.38181543	0.00074094534	0.0017514805	0	11202.059	0	21.517578	21.536133
0.38497925	0.00089743733	0.0016702135	0	11283.211	0	21.617188	21.635742
0.38812399	0.0010730326	0.0018623639	0	11367.319	0	21.716797	21.735352
0.39237738	0.00013995171	0.0018074526	0	11448.184	0	21.816406	21.834961
0.39461136	0.0012262762	0.0018668321	0	11532.328	0	21.916016	21.93457
0.39795637	0.00120157	0.0019027309	0	11615.647	0	22.015625	22.03418
0.40148497	0.00099331141	0.0018698826	0	11701.281	0	22.115234	22.133789
0.40520191	0.0005966723	0.0019824812	0	11784.831	0	22.214844	22.233398
0.40884018	0.00027871132	0.0018475894	0	11879.046	0	22.314453	22.333008
0.41263342	-0.00019422174	0.0019161216	0	11967.771	0	22.414063	22.432617
0.41512251	0.00063699484	0.0018159845	0	12052.901	0	22.513672	22.532227
0.41810036	0.00097948313	0.0018827075	0	12136.97	0	22.613281	22.631836
0.42145967	0.00094047189	0.0021206343	0	12216.221	0	22.712891	22.731445
0.42413712	0.0015833378	0.0021002551	0	12296.376	0	22.8125	22.831055
0.42760611	0.001434654	0.0020415401	0	12372.826	0	22.912109	22.930664
0.43123007	0.0011309981	0.0020243214	0	12448.106	0	23.011719	23.030273
0.43488503	0.00079637766	0.0021260788	0	12527.692	0	23.111328	23.129883
0.43827057	0.00073114038	0.0019710213	0	12619.749	0	23.210938	23.229492
0.44216871	0.00015330315	0.0019907351	0	12729.3	0	23.310547	23.329102
0.44595957	-0.00031724572	0.0020785155	0	12834.156	0	23.410156	23.428711
0.44984818	-0.00088554621	0.00219983	0	12920.283	0	23.509766	23.52832
0.45276642	-0.00048345327	0.002066744	0	12997.203	0	23.609375	23.62793
0.4562664	-0.00066313148	0.002081224	0	13065.354	0	23.708984	23.727539
0.45891762	5.9604645e-06	0.0023009279	0	13130.645	0	23.808594	23.827148
0.46148539	0.00075849891	0.0023053947	0	13198.577	0	23.908203	23.926758
0.46460867	0.00095552206	0.0022822749	0	13270.825	0	24.007813	24.026367
0.46753645	0.0013480783	0.0022863732	0	13362.641	0	24.107422	24.125977
0.47193289	0.00027194619	0.0023414842	0	13453.616	0	24.207031	24.225586
0.47509432	0.00043082237	0.0022202071	0	13538.357	0	24.306641	24.325195
0.47868252	0.0001629293	0.002296858	0	13615.823	0	24.40625	24.424805
0.48184633	0.00031942129	0.0021653017	0	13690.509	0	24.505859	24.524414
0.48475742	0.00072866678	0.0024456165	0	13767.773	0	24.605469	24.624023
0.48771858	0.0010878146	0.0021590947	0	13845.354	0	24.705078	24.723633
0.49178123	0.00034546852	0.0022704441	0	13925.188	0	24.804688	24.823242
0.49436092	0.001086086	0.0023560517	0	14007.405	0	24.904297	24.922852
0.49831867	0.00044864416	0.0022933341	0	14096.724	0	25.003906	25.022461
0.50184488	0.00024276972	0.0023870054	0	14180.441	0	25.103516	25.12207
0.50428867	0.001119256	0.0023186235	0	14260.319	0	25.203125	25.22168
0.50796509	0.00076317787	0.0021898926	0	14336.281	0	25.302734	25.321289
0.51107407	0.00097453594	0.0024443022	0	14410.953	0	25.402344	25.420898
0.51429749	0.0010713935	0.0025498939	0	14492.676	0	25.501953	25.520508
0.51763773	0.0010514855	0.0024218019	0	14573.333	0	25.601563	25.620117
0.52159309	0.00041639805	0.0024521463	0	14650.349	0	25.701172	25.719727
0.52446127	0.00086855888	0.0024987881	0	14728.665	0	25.800781	25.819336
0.52771807	0.00093209743	0.0024187388	0	14800.497	0	25.900391	25.918945
0.53055286	0.0014175773	0.0024639191	0	14878.693	0	26	26.018555
0.53421021	0.0010805726	0.0025403262	0	14975.429	0	26.099609	26.118164
0.53776026	0.0008507967	0.0024381038	0	15064.525	0	26.199219	26.217773
0.54147959	0.00045180321	0.0025482429	0	15150.189	0	26.298828	26.317383
0.54491997	0.00033175945	0.0023984839	0	15225.347	0	26.398438	26.416992
0.54793358	0.00063842535	0.0024031007	0	15295.152	0	26.498047	26.516602
0.55050611	0.0013862252	0.0024920045	0	15367.965	0	26.597656	26.616211
0.55540323	-0.00019061565	0.0025363525	0	15462.483	0	26.697266	26.71582
0.55881023	-0.00027728081	0.0024175283	0	15557.498	0	26.796875	26.81543
0.56210518	-0.00025188923	0.0027030895	0	15637.793	0	26.896484	26.915039
0.56510448	6.9081783e-05	0.0025100005	0	15709.656	0	26.996094	27.014648
0.5679369	0.00055700541	0.0025132534	0	15779.336	0	27.095703	27.114258
0.57082653	0.00098770857	0.0025001084	0	15846.855	0	27.195313	27.213867
0.57436466	0.00076985359	0.0026247078	0	15916.211	0	27.294922	27.313477
0.57739735	0.0010575056	0.002571441	0	15989.074	0	27.394531	27.413086
0.58109999	0.00067514181	0.0026986797	0	16068.403	0	27.494141	27.512695
0.58442354	0.00067192316	0.0026641062	0	16154.152	0	27.59375	27.612305
0.58822632	0.00018948317	0.0027492875	0	16232.884	0	27.693359	27.711914
0.59158802	0.00014805794	0.0027968241	0	16307.123	0	27.792969	27.811523
0.59443474	0.00062167645	0.0026560726	0	16388.816	0	27.892578	27.911133
0.59914351	-0.00076681376	0.0027191313	0	16474.814	0	27.992188	28.010742
0.60170412	-7.0929527e-06	0.0028797381	0	16552.672	0	28.091797	28.110352
0.60498953	2.7835369e-05	0.0028229274	0	16622.938	0	28.191406	28.209961
0.60814857	0.00018906593	0.0028080205	0	16695.52	0	28.291016	28.30957
0.611341	0.0003169775	0.0027968469	0	16769.652	0	28.390625	28.40918
0.61447382	0.00050443411	0.0030249692	0	16845.725	0	28.490234	28.508789
0.61808825	0.00021034479	0.0030116807	0	16926.789	0	28.589844	28.608398
0.62123537	0.00038355589	0.0029919771	0	17006.746	0	28.689453	28.708008
0.62444448	0.00049471855	0.002904084	0	17078.623	0	28.789063	28.807617
0.62804699	0.00021255016	0.0030711803	0	17150.971	0	28.888672	28.907227
0.63149691	8.2910061e-05	0.0030154174	0	17221.191	0	28.988281	29.006836
0.63521385	-0.00031369925	0.00301426	0	17299.156	0	29.087891	29.106445
0.63817501	4.5478344e-05	0.0029959942	0	17372.775	0	29.1875	29.206055
0.64038038	0.0011603832	0.003107206	0	17435.668	0	29.287109	29.305664
0.64345121	0.0014098883	0.0030120783	0	17506.521	0	29.386719	29.405273
0.64662695	0.0015544295	0.0030896233	0	17582.594	0	29.486328	29.504883
0.65059423	0.00090748072	0.0031230219	0	17669.336	0	29.585938	29.604492
0.65493584	-0.00011378527	0.0031178056	0	17771.834	0	29.685547	29.704102
