MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,409.35938,s,1/20/2017 16:53
Axial Displacement,Axial Displacement Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,,,
mm,mm,N,N,s,s,,,,
-2.2318912,0.003377199,-1302.5125,0,101.00195,101.02344,,,,
-2.2319233,0.001781225,-1290.0593,0,101.50195,101.52344,,,,
-2.2325373,0.00075841,-1284.6024,0,102.00195,102.02344,,,,
-2.232455,-0.000969172,-1283.0891,0,102.50195,102.52344,,,,
-2.2334719,-0.001606703,-1291.4731,0,103.00195,103.02344,,,,
-2.235955,-0.000786543,-1312.068,0,103.50195,103.52344,,,,
-2.2375667,-0.000846386,-1336.0712,0,104.00195,104.02344,,,,
-2.2399199,-0.000173569,-1353.8005,0,104.50195,104.52344,,,,
-2.2412431,-0.000539303,-1367.7294,0,105.00195,105.02344,,,,
-2.2436833,0.000203133,-1379.7567,0,105.50195,105.52344,,,,
-2.2454953,0.000308514,-1395.449,0,106.00195,106.02344,,,,
-2.2460902,-0.000811815,-1400.2993,0,106.50195,106.52344,,,,
-2.2478282,-0.000797749,-1412.5024,0,107.00195,107.02344,,,,
-2.2494686,-0.000890017,-1426.6515,0,107.50195,107.52344,,,,
-2.2524202,0.000320196,-1445.3855,0,108.00195,108.02344,,,,
-2.2539699,0.000119925,-1460.7504,0,108.50195,108.52344,,,,
-2.2564399,0.000831366,-1474.2654,0,109.00195,109.02344,,,,
-2.2578239,0.000447989,-1484.7174,0,109.50195,109.52344,,,,
-2.2593129,0.000160933,-1491.3828,0,110.00195,110.02344,,,,
-2.2602808,-0.000655651,-1497.8239,0,110.50195,110.52344,,,,
-2.2612071,-0.001523018,-1503.0925,0,111.00195,111.02344,,,,
-2.2627425,-0.00178957,-1518.9037,0,111.50195,111.52344,,,,
-2.2656345,-0.000708342,-1536.9241,0,112.00195,112.02344,,,,
-2.2674382,-0.000724316,-1550.6207,0,112.50195,112.52344,,,,
-2.2692394,-0.000751019,-1566.8907,0,113.00195,113.02344,,,,
-2.2709787,-0.000848293,-1579.1672,0,113.50195,113.52344,,,,
-2.2736275,-4.48E-05,-1592.6644,0,114.00195,114.02344,,,,
-2.2750175,-0.000509024,-1603.0094,0,114.50195,114.52344,,,,
-2.2764182,-0.00097084,-1617.2441,0,115.00195,115.02344,,,,
-2.2798872,0.000626802,-1646.8531,0,115.50195,115.52344,,,,
-2.2825611,0.001420736,-1667.9966,0,116.00195,116.02344,,,,
-2.2845972,0.001568079,-1677.7297,0,116.50195,116.52344,,,,
-2.2862589,0.001332521,-1679.6354,0,117.00195,117.02344,,,,
-2.2871673,0.000335217,-1683.9084,0,117.50195,117.52344,,,,
-2.2884738,-0.000272751,-1687.6156,0,118.00195,118.02344,,,,
-2.2902417,-0.000427961,-1695.5813,0,118.50195,118.52344,,,,
-2.2913849,-0.001216412,-1708.4916,0,119.00195,119.02344,,,,
-2.2930181,-0.001523495,-1718.2993,0,119.50195,119.52344,,,,
-2.2942901,-0.002200604,-1730.6049,0,120.00195,120.02344,,,,
-2.2976112,-0.000837088,-1753.7528,0,120.50195,120.52344,,,,
-2.3016536,0.001239061,-1794.052,0,121.00195,121.02344,,,,
-2.303977,0.001587629,-1814.9314,0,121.50195,121.52344,,,,
-2.3069453,0.002572775,-1821.5002,0,122.00195,122.02344,,,,
-2.3077786,0.001414061,-1813.2903,0,122.50195,122.52344,,,,
-2.3086655,0.000300407,-1808.23,0,123.00195,123.02344,,,,
-2.3098779,-0.000496149,-1804.9756,0,123.50195,123.52344,,,,
-2.3122263,-0.000165462,-1820.8657,0,124.00195,124.02344,,,,
-2.3140061,-0.000411987,-1831.2236,0,124.50195,124.52344,,,,
-2.3159063,-0.000546694,-1852.6647,0,125.00195,125.02344,,,,
-2.3188353,0.000338793,-1865.3024,0,125.50195,125.52344,,,,
-2.3199975,-0.000550985,-1867.6224,0,126.00195,126.02344,,,,
-2.3214865,-0.001122475,-1867.5806,0,126.50195,126.52344,,,,
-2.3229563,-0.001721621,-1879.1282,0,127.00195,127.02344,,,,
-2.3260093,-0.000746489,-1907.646,0,127.50195,127.52344,,,,
-2.3289287,8.68E-05,-1928.0907,0,128.00195,128.02344,,,,
-2.3306036,-0.000333071,-1939.7299,0,128.50195,128.52344,,,,
-2.3332524,0.000212431,-1956.7115,0,129.00195,129.02344,,,,
-2.3354745,0.00032258,-1964.4088,0,129.50195,129.52344,,,,
-2.3372972,2.50E-05,-1973.0548,0,130.00195,130.02344,,,,
-2.3394275,2.62E-05,-1983.6748,0,130.50195,130.52344,,,,
-2.3408866,-0.000652075,-1986.0112,0,131.00195,131.02344,,,,
-2.34218,-0.001504421,-2002.152,0,131.50195,131.52344,,,,
-2.3456144,-0.000224352,-2030.4122,0,132.00195,132.02344,,,,
-2.349596,0.001594067,-2065.4854,0,132.50195,132.52344,,,,
-2.3523843,0.002211094,-2077.0344,0,133.00195,133.02344,,,,
-2.3542428,0.001889467,-2074.8604,0,133.50195,133.52344,,,,
-2.3550582,0.000516415,-2073.4146,0,134.00195,134.02344,,,,
-2.3573089,0.00056982,-2080.5945,0,134.50195,134.52344,,,,
-2.3588085,-0.000135899,-2090.4478,0,135.00195,135.02344,,,,
-2.3602533,-0.000905037,-2098.3215,0,135.50195,135.52344,,,,
-2.3618722,-0.001508474,-2107.553,0,136.00195,136.02344,,,,
-2.364428,-0.001183748,-2118.3428,0,136.50195,136.52344,,,,
-2.3664165,-0.001434565,-2139.905,0,137.00195,137.02344,,,,
-2.3710012,0.000902176,-2181.8687,0,137.50195,137.52344,,,,
-2.3734713,0.001115799,-2203.8044,0,138.00195,138.02344,,,,
-2.3759508,0.001330614,-2214.1313,0,138.50195,138.52344,,,,
-2.3773885,0.000494957,-2222.2583,0,139.00195,139.02344,,,,
-2.3792076,3.22E-05,-2223.4954,0,139.50195,139.52344,,,,
-2.380662,-0.000803471,-2227.375,0,140.00195,140.02344,,,,
-2.3828208,-0.000943184,-2240.0845,0,140.50195,140.52344,,,,
-2.3871088,0.001037836,-2296.4631,0,141.00195,141.02344,,,,
-2.391721,0.003334522,-2335.2388,0,141.50195,141.52344,,,,
-2.3934805,0.002769947,-2334.4902,0,142.00195,142.02344,,,,
-2.3948324,0.00178957,-2329.5774,0,142.50195,142.52344,,,,
-2.3964584,0.001074553,-2335.5356,0,143.00195,143.02344,,,,
-2.3977625,2.96E-05,-2339.4229,0,143.50195,143.52344,,,,
-2.3991132,-0.000977516,-2346.854,0,144.00195,144.02344,,,,
-2.4009454,-0.001511097,-2358.7783,0,144.50195,144.52344,,,,
-2.4030197,-0.001811266,-2377.8037,0,145.00195,145.02344,,,,
-2.406249,-0.00096488,-2402.1641,0,145.50195,145.52344,,,,
-2.4078631,-0.001741886,-2419.4233,0,146.00195,146.02344,,,,
-2.4110746,-0.000930071,-2444.7966,0,146.50195,146.52344,,,,
-2.413851,-0.000561714,-2464.4563,0,147.00195,147.02344,,,,
-2.4165678,-0.000261307,-2482.0508,0,147.50195,147.52344,,,,
-2.419517,0.000262976,-2502.7275,0,148.00195,148.02344,,,,
-2.4215353,-0.000151873,-2516.6228,0,148.50195,148.52344,,,,
-2.4234831,-0.000645638,-2528.7998,0,149.00195,149.02344,,,,
-2.4267161,0.000137568,-2565.6812,0,149.50195,149.52344,,,,
-2.4302864,0.001249552,-2587.3435,0,150.00195,150.02344,,,,
-2.4319315,0.0004282,-2599.7705,0,150.50195,150.52344,,,,
-2.4346292,0.000650883,-2609.4021,0,151.00195,151.02344,,,,
-2.4358439,-0.000617743,-2620.6309,0,151.50195,151.52344,,,,
-2.4380958,-0.000857592,-2631.8862,0,152.00195,152.02344,,,,
-2.4401963,-0.001257181,-2650.6038,0,152.50195,152.52344,,,,
-2.4431884,-0.000773191,-2670.3447,0,153.00195,153.02344,,,,
-2.4461579,-0.000320435,-2704.3132,0,153.50195,153.52344,,,,
-2.4492669,0.000263691,-2719.2058,0,154.00195,154.02344,,,,
-2.4519825,0.000446081,-2746.6155,0,154.50195,154.52344,,,,
-2.4547577,0.000679731,-2768.1079,0,155.00195,155.02344,,,,
-2.4568892,0.000261307,-2776.6079,0,155.50195,155.52344,,,,
-2.4592412,5.48E-05,-2787.2021,0,156.00195,156.02344,,,,
-2.4619639,0.000211,-2808.856,0,156.50195,156.52344,,,,
-2.4643052,-2.24E-05,-2831.6699,0,157.00195,157.02344,,,,
-2.4676108,0.000700235,-2857.7822,0,157.50195,157.52344,,,,
-2.4704003,0.000898361,-2880.6035,0,158.00195,158.02344,,,,
-2.4736726,0.00157094,-2901.948,0,158.50195,158.52344,,,,
-2.4756134,0.000903845,-2913.3672,0,159.00195,159.02344,,,,
-2.478025,0.000699282,-2925.4382,0,159.50195,159.52344,,,,
-2.4804688,0.00051856,-2940.6152,0,160.00195,160.02344,,,,
-2.4830401,0.000457048,-2956.8035,0,160.50195,160.52344,,,,
-2.4852836,5.96E-05,-2970.0801,0,161.00195,161.02344,,,,
-2.4878156,-5.77E-05,-2982.999,0,161.50195,161.52344,,,,
-2.4892676,-0.001263142,-3000.498,0,162.00195,162.02344,,,,
-2.4916148,-0.00158143,-3019.1108,0,162.50195,162.52344,,,,
-2.4945533,-0.001317024,-3037.9082,0,163.00195,163.02344,,,,
-2.4982703,-0.000282049,-3071.2402,0,163.50195,163.52344,,,,
-2.5013483,0.000105619,-3100.3672,0,164.00195,164.02344,,,,
-2.5044847,0.000543356,-3126.1694,0,164.50195,164.52344,,,,
-2.507416,0.000767708,-3142.3784,0,165.00195,165.02344,,,,
