MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,102.02344,s,12/20/16 13:19
Axial Displacement,Axial Displacement Error,Axial Extensometer,Axial Extensometer Abs. Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,
mm,mm,mm/mm,mm/mm,N,N,s,s,,
1.8762469,0.000450134,0.006405161,0,36255.566,0,66.341797,66.360352,,
1.8801379,-0.000120521,0.00633788,0,36290.824,0,66.441406,66.459961,,
1.8826485,0.000689268,0.006446934,0,36319.227,0,66.541016,66.55957,,
1.8863392,0.000318885,0.006318891,0,36349.32,0,66.640625,66.65918,,
1.8893957,0.000582576,0.006442093,0,36382.719,0,66.740234,66.758789,,
1.8932509,4.77E-05,0.00648483,0,36413.727,0,66.839844,66.858398,,
1.8966556,-3.66E-05,0.006566081,0,36439.07,0,66.939453,66.958008,,
1.8994927,0.000446558,0.006540007,0,36464.055,0,67.039063,67.057617,,
1.9024372,0.000822425,0.006472962,0,36492.875,0,67.138672,67.157227,,
1.9053578,0.001222014,0.006635197,0,36524.063,0,67.238281,67.256836,,
1.9089413,0.00095892,0.006603807,0,36559.922,0,67.337891,67.356445,,
1.9133353,-0.000114799,0.006596699,0,36601.449,0,67.4375,67.456055,,
1.9167662,-0.000225306,0.006567325,0,36643.473,0,67.537109,67.555664,,
1.9200206,-0.000159383,0.006558229,0,36676.023,0,67.636719,67.655273,,
1.9229555,0.000225902,0.006528446,0,36704.836,0,67.736328,67.754883,,
1.9259429,0.000558853,0.006648028,0,36732.766,0,67.835938,67.854492,,
1.9301701,-0.000347972,0.006578492,0,36762.656,0,67.935547,67.954102,,
1.9324756,0.000666857,0.006579232,0,36786.973,0,68.035156,68.053711,,
1.9362783,0.000184417,0.00674546,0,36813.992,0,68.134766,68.15332,,
1.9391704,0.000612617,0.006613688,0,36842.363,0,68.234375,68.25293,,
1.9425631,0.000540257,0.006576832,0,36870.035,0,68.333984,68.352539,,
1.9459105,0.000513196,0.00652606,0,36903.16,0,68.433594,68.452148,,
1.9496679,7.61E-05,0.006542401,0,36943.617,0,68.533203,68.551758,,
1.9538617,-0.000797391,0.006595336,0,36979.016,0,68.632813,68.651367,,
1.9566345,-0.000249982,0.006655574,0,37010.609,0,68.732422,68.750977,,
1.9597411,-3.62E-05,0.006543886,0,37034.66,0,68.832031,68.850586,,
1.9625139,0.000511289,0.00656588,0,37062.996,0,68.931641,68.950195,,
1.9658065,0.000539064,0.006609877,0,37090.523,0,69.03125,69.049805,,
1.9693637,0.000302196,0.00661045,0,37114.992,0,69.130859,69.149414,,
1.9727135,0.000272632,0.006584212,0,37142.027,0,69.230469,69.249023,,
1.9758368,0.000469685,0.006551432,0,37174.746,0,69.330078,69.348633,,
1.9788742,0.000752568,0.006592162,0,37201.109,0,69.429688,69.448242,,
1.9830513,-0.000104189,0.006722541,0,37229.438,0,69.529297,69.547852,,
1.9855118,0.000755668,0.006661297,0,37261.82,0,69.628906,69.647461,,
1.9888353,0.00075233,0.0065243,0,37301.996,0,69.728516,69.74707,,
1.9926214,0.000286579,0.00649711,0,37335.094,0,69.828125,69.84668,,
1.9957113,0.000517011,0.006571982,0,37364.137,0,69.927734,69.946289,,
1.999023,0.000525713,0.006544854,0,37393.254,0,70.027344,70.045898,,
2.0032096,-0.0003407,0.006897186,0,37421.004,0,70.126953,70.145508,,
2.0056295,0.000559807,0.006662063,0,37453.605,0,70.226563,70.245117,,
2.0093703,0.000139236,0.006554689,0,37483.016,0,70.326172,70.344727,,
2.0128131,1.69E-05,0.006576866,0,37512.676,0,70.425781,70.444336,,
2.0163631,-0.000212908,0.006854742,0,37547.238,0,70.525391,70.543945,,
2.0195603,-8.99E-05,0.006731287,0,37573.688,0,70.625,70.643555,,
2.0227551,3.58E-05,0.0065951,0,37600.391,0,70.724609,70.743164,,
2.0263815,-0.000270367,0.006722854,0,37628.859,0,70.824219,70.842773,,
2.0290184,0.000413179,0.006873995,0,37654.832,0,70.923828,70.942383,,
2.0325732,0.000178576,0.0067651,0,37681.527,0,71.023438,71.041992,,
2.0357299,0.000342131,0.006734422,0,37704.996,0,71.123047,71.141602,,
2.0394588,-6.63E-05,0.006706094,0,37728.055,0,71.222656,71.241211,,
2.0414829,0.001229763,0.006641699,0,37757.813,0,71.322266,71.34082,,
2.0455956,0.000437498,0.006727801,0,37794.52,0,71.421875,71.44043,,
2.0488453,0.00050807,0.006731447,0,37826.191,0,71.521484,71.540039,,
2.0521593,0.000514269,0.006606685,0,37859.258,0,71.621094,71.639648,,
2.0562434,-0.000249386,0.006710401,0,37889.008,0,71.720703,71.739258,,
2.0594072,-9.30E-05,0.006562899,0,37914.422,0,71.820313,71.838867,,
2.0629406,-0.000305891,0.006675364,0,37940.176,0,71.919922,71.938477,,
2.065835,0.000119925,0.006796876,0,37961.891,0,72.019531,72.038086,,
2.0694304,-0.00015521,0.006630751,0,37990.328,0,72.119141,72.137695,,
2.0717454,0.000850201,0.006809171,0,38014.844,0,72.21875,72.237305,,
2.0751286,0.000787258,0.00679613,0,38043.781,0,72.318359,72.336914,,
2.0785475,0.000688791,0.006866007,0,38073.129,0,72.417969,72.436523,,
2.0826316,-7.51E-05,0.006513025,0,38105.68,0,72.517578,72.536133,,
2.0855045,0.000372171,0.006791259,0,38131.617,0,72.617188,72.635742,,
2.088716,0.000481129,0.006702303,0,38158.078,0,72.716797,72.735352,,
2.0923376,0.000179768,0.006906259,0,38182.547,0,72.816406,72.834961,,
2.0947123,0.001125574,0.006808237,0,38214.707,0,72.916016,72.93457,,
2.0991969,-3.89E-05,0.006942675,0,38242.828,0,73.015625,73.03418,,
2.1022224,0.000255823,0.006779398,0,38273.492,0,73.115234,73.133789,,
2.1057343,6.44E-05,0.006876528,0,38300.777,0,73.214844,73.233398,,
2.1090436,7.53E-05,0.006696952,0,38328.441,0,73.314453,73.333008,,
2.1115589,0.00088048,0.006749334,0,38357.875,0,73.414063,73.432617,,
2.1157074,5.22E-05,0.006788991,0,38387.961,0,73.513672,73.532227,,
2.1183991,0.000680685,0.006920918,0,38417.391,0,73.613281,73.631836,,
2.1222949,0.000105381,0.006871559,0,38443.516,0,73.712891,73.731445,,
2.1264124,-0.000691891,0.006740578,0,38465.164,0,73.8125,73.831055,,
2.1286058,0.000435114,0.006818028,0,38486.953,0,73.912109,73.930664,,
2.1317887,0.000572443,0.006769381,0,38512.145,0,74.011719,74.030273,,
2.1353912,0.000290155,0.006831255,0,38537.117,0,74.111328,74.129883,,
2.1387887,0.000213146,0.006898139,0,38564.379,0,74.210938,74.229492,,
